case_study,model,strategy,reliability_in_percent,optimization_time_in_s,input_tokens,output_tokens,optimization_costs_in_usd,functional_correctness_in_percent,rule_violations,pylint_score,loc,sloc,avg_func_len_with_docstrings,avg_func_len_without_docstrings,commented_lines,avg_cc,mi
case_study_1,before_optimization,None,None,None,None,None,None,None,13.0,3.91,32.0,24.0,32.0,32.0,12.0,6.00,54.70
case_study_1,claude-3-7-sonnet-20250219,ALL_AT_ONCE,100,12.9,12810,857,0.051,100,1.0,9.41,134.4,44.6,18.6,7.7,0.0,2.26,75.07
case_study_1,gemini-2-0-pro-exp-02-05,ALL_AT_ONCE,100,9.9,12288,1092,0.021,100,0.0,9.95,165.0,56.2,30.7,12.6,1.0,3.32,72.17
case_study_1,gpt-4o-2024-08-06,ALL_AT_ONCE,100,18.4,10806,572,0.033,100,2.8,9.03,115.4,39.8,19.7,10.0,1.0,2.50,75.41
case_study_1,grok-2-1212,ALL_AT_ONCE,100,11.9,10912,585,0.028,100,3.2,8.13,120.0,34.0,17.5,7.2,0.4,2.30,77.09
case_study_1,claude-3-7-sonnet-20250219,ONE_BY_ONE,100,63.9,17052,4558,0.120,100,0.0,10.00,143.2,42.8,32.7,11.3,1.0,2.67,75.07
case_study_1,gemini-2-0-pro-exp-02-05,ONE_BY_ONE,100,96.7,17497,7094,0.057,100,0.4,10.00,217.0,58.0,29.4,8.3,0.2,2.05,72.38
case_study_1,gpt-4o-2024-08-06,ONE_BY_ONE,100,109.1,14162,3309,0.068,100,0.0,10.00,103.8,41.8,19.3,9.4,1.0,2.80,75.28
case_study_1,grok-2-1212,ONE_BY_ONE,100,121.5,15791,6117,0.093,100,2.0,7.38,234.8,48.8,24.7,5.2,0.4,1.82,73.78
case_study_2,before_optimization,None,None,None,None,None,None,None,8.0,7.10,87.0,82.0,15.2,15.2,6.0,3.40,42.42
case_study_2,claude-3-7-sonnet-20250219,ALL_AT_ONCE,100,18.4,13249,1458,0.062,100,2.0,9.76,199.0,92.0,17.6,9.0,2.0,2.33,69.98
case_study_2,gemini-2-0-pro-exp-02-05,ALL_AT_ONCE,100,15.4,12704,1878,0.025,100,0.8,10.00,262.0,92.8,21.0,8.8,3.0,2.26,68.10
case_study_2,gpt-4o-2024-08-06,ALL_AT_ONCE,100,26.8,11163,939,0.037,100,2.0,9.85,141.4,73.2,23.8,14.2,2.0,3.40,71.15
case_study_2,grok-2-1212,ALL_AT_ONCE,100,24.0,11263,1262,0.036,100,3.0,8.74,207.8,77.0,26.3,11.8,1.6,2.93,69.94
case_study_2,claude-3-7-sonnet-20250219,ONE_BY_ONE,100,140.7,23233,12161,0.252,100,1.0,9.65,379.0,124.4,22.0,8.1,3.0,1.86,63.91
case_study_2,gemini-2-0-pro-exp-02-05,ONE_BY_ONE,100,122.5,22595,12460,0.091,100,0.0,9.81,431.8,99.8,32.2,7.8,0.2,2.05,67.61
case_study_2,gpt-4o-2024-08-06,ONE_BY_ONE,100,183.5,17625,8334,0.127,100,0.0,10.00,235.4,91.8,21.0,9.3,3.0,2.43,68.03
case_study_2,grok-2-1212,ONE_BY_ONE,100,182.1,19082,10531,0.143,40,2.0,8.17,368.0,98.8,27.8,7.8,1.2,2.11,65.73
case_study_3,before_optimization,None,None,None,None,None,None,None,3.0,8.94,331.0,275.0,22.7,22.7,1.0,2.56,24.79
case_study_3,claude-3-7-sonnet-20250219,ALL_AT_ONCE,100,67.4,16138,5596,0.132,100,1.0,10.00,616.6,277.0,36.3,22.8,3.0,2.56,50.72
case_study_3,gemini-2-0-pro-exp-02-05,ALL_AT_ONCE,100,43.7,15474,5886,0.049,80,3.2,9.72,629.0,303.2,36.8,23.8,1.8,2.51,50.54
case_study_3,gpt-4o-2024-08-06,ALL_AT_ONCE,100,105.8,13261,4078,0.074,100,1.2,9.80,539.4,277.8,32.6,22.9,3.2,2.66,48.69
case_study_3,grok-2-1212,ALL_AT_ONCE,100,87.2,13411,4260,0.089,40,3.6,8.87,567.6,279.2,35.0,22.3,1.0,2.53,51.86
case_study_3,claude-3-7-sonnet-20250219,ONE_BY_ONE,100,462.6,48432,38710,0.726,100,0.0,9.72,791.6,324.4,27.1,14.1,2.6,1.94,49.27
case_study_3,gemini-2-0-pro-exp-02-05,ONE_BY_ONE,100,269.8,47517,38554,0.252,100,3.8,9.78,823.8,376.8,35.7,20.7,1.4,2.14,47.75
case_study_3,gpt-4o-2024-08-06,ONE_BY_ONE,100,523.6,34931,24953,0.337,100,0.0,9.93,562.6,286.0,35.1,22.8,3.0,2.56,52.45
case_study_3,grok-2-1212,ONE_BY_ONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0